Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
land_of_opportunity_desc;By the late 19th century our industry, banking system and the free movement of population established with our neighbors caused a boom of migrant workers that come to work in our industry and in our banks, eventually settling in Switzerland.;;;;;;;;;;;;;
swiss_banking;Swiss Banking;;;;;;;;;;;;;
swiss_banking_desc;The Swiss run an efficient and internationally recognized banking system. The rich from all over the world come to Switzerland for their banking needs.;;;;;;;;;;;;;
anynomous_investor_business;Anonymous Investor Business;;;;;;;;;;;;;
anynomous_investor_business_desc;This style of business culture meant that the owners treated the business as an investment. Ownership was not about producing and selling things. Instead the only reason for being the owner was to see the business ratios rise. This practice was professional, but lacked commitment and was intensely risk-aversive.;;;;;;;;;;;;;
boer_republic;Boer Republic;;;;;;;;;;;;;
integration_refusal;No Integration;;;;;;;;;;;;;
integration_refusal_desc;The province is not being integrated into the rest of the country, and being allowed to maintain its separate identity.;;;;;;;;;;;;;
core_integration;Core Integration;;;;;;;;;;;;;
core_integration_desc;The province is being integrated into the rest of the country, a slow process that may cause problems here.;;;;;;;;;;;;;
national_assimilation_complete;National Assimilation Complete;;;;;;;;;;;;;
national_assimilation;National Assimilation;;;;;;;;;;;;;
national_assimilation_desc;This province is undergoing assimilation to remove the claims that other countries have upon it.;;;;;;;;;;;;;
national_assimilation_rejection;Assimilation Rejection;;;;;;;;;;;;;
national_assimilation_rejection_desc;The minorities in this province have rejected the policies of national assimilation.;;;;;;;;;;;;;
national_assimilation_acceptance;Assimilation Acceptance;;;;;;;;;;;;;
national_assimilation_acceptance_desc;The minorities in this province have accepted the policies of national assimilation.;;;;;;;;;;;;;
christian_repression;Christian Repression;;;;;;;;;;;;;
christian_repression_desc;Taiping missionaries are being actively repressed in this province.;;;;;;;;;;;;;
anti_manchu_sentiment;Anti-Manchu Sentiment;;;;;;;;;;;;;
anti_manchu_sentiment_desc;There is a great deal of bitterness against the Qing Dynasty's rulers in this province.;;;;;;;;;;;;;
louis_napoleon_iii;Louis-Napoléon Bonaparte;;;;;;;;;;;;;
louis_napoleon_iii_desc;Nephew and heir of Napoleon I, he is a man of the people and carries with him a legacy that makes him seemingly invincible-- even if, at times, his decisions are reckless and of questionable military value.;;;;;;;;;;;;;
begin_disunited_states;Disunited States;;;;;;;;;;;;;
begin_disunited_states_desc;With the transition of the United States away from democracy, the Sons of Liberty have arisen in an effort fight what they call tyranny. It will take time for this resistance to calm, and until it does there shall be much talk of secession and even open revolt.;;;;;;;;;;;;;
election_cooldown;Ongoing Elections;;;;;;;;;;;;;
desc_election_cooldown;Our voters are currently debating and discussing all important issues.;;;;;;;;;;;;;
violent_elections;Violent Elections;;;;;;;;;;;;;
desc_violent_elections;The current elections turned out have a quite violent undertone in the ongoing campaigns.;;;;;;;;;;;;;
social_reform_movement;Social Reform Movement;;;;;;;;;;;;;
desc_social_reform_movement;Socialists and communists have initiated a countrywide agenda for better living conditions.;;;;;;;;;;;;;
wartime_elections;War-time Elections;;;;;;;;;;;;;
wartime_elections_desc;The elections are taking place in a time of war, an event which has taken center stage in the debates.;;;;;;;;;;;;;
loss_of_support;Loss of Support;;;;;;;;;;;;;
loss_of_support_desc;The ruling party has lost support in this area.;;;;;;;;;;;;;
support_the_government;Government Support;;;;;;;;;;;;;
support_the_government_desc;The ruling party has extra support in this area.;;;;;;;;;;;;;
nothing_stops_progress;Nothing Stops Progress;;;;;;;;;;;;;
nothing_stops_progress_desc;We are arresting the reactionary agitators and proceeding with reforms as planned.;;;;;;;;;;;;;
slow_down_progress;Reform Restrictions;;;;;;;;;;;;;
slow_down_progress_desc;Perhaps it is best if we apply brakes to the rate of reforms. We must allow our people to catch up!;;;;;;;;;;;;;
ruling_party_scandal;National Scandal;;;;;;;;;;;;;
ruling_party_scandal_desc;A recent scandal has rocked the government and eroded support for the ruling party.;;;;;;;;;;;;;
party_scandal_evidence;Major National Scandal;;;;;;;;;;;;;
party_scandal_evidence_desc;Evidence has come to light which has only worsened the national scandal, putting the government at dire risk if it should come to an election.;;;;;;;;;;;;;
line_of_advantage;Line of Advantage;;;;;;;;;;;;;
line_of_advantage_desc;The concept of riekisen, or the 'line of advantage', means that we must extend Japanese influence beyond our national borders in order to ensure our security. This means turning all of the Japanese military, and indeed our people, to the notion of foreign conquest and glory.;;;;;;;;;;;;;
no_line_of_advantage;Path of Progress;;;;;;;;;;;;;
no_line_of_advantage_desc;Instead of focusing on military might and conquest, Japanese security must be provided by devotion to technological progress and reform. We must match the Western powers, and quickly, or they will surely take advantage and find Japan sorely unprepared.;;;;;;;;;;;;;
border_incident;Recent Border Incident;;;;;;;;;;;;;
border_incident_desc;We have recently had a border incident, stirring up trouble with a Great Power.;;;;;;;;;;;;;
the_british_raj;The Indian Raj;;;;;;;;;;;;;
the_british_raj_desc;Greatest of the jewels in our nation's crown is the Indian Raj.;;;;;;;;;;;;;
dutch_east_india;East India Company;;;;;;;;;;;;;
dutch_east_india_desc;Greatest of the jewels in our nation's crown is the East Indies colony.;;;;;;;;;;;;;
vassal_nation;Vassal Nation;;;;;;;;;;;;;
vassal_nation_desc;As a vassal nation to a foreign power, we will always be seen as a lesser country in the eyes of the rest of the world.;;;;;;;;;;;;;
coup_risk;Coup D'etat Risk;;;;;;;;;;;;;
coup_risk_desc;There is dissension within the nation's military, one that is leading to a breakdown of order not only within the ranks but within the country itself. Some fear the army will rise up and take over the government.;;;;;;;;;;;;;
military_strife;Military Strife;;;;;;;;;;;;;
military_strife_desc;We are battling with our own army to prevent them from taking over the government. Purges are not infrequent, and the chances of soldiers defecting to join rebel causes raises with every passing day.;;;;;;;;;;;;;
vangaurd_party;Vanguard Party;;;;;;;;;;;;;
mixed_economy_desc;Mixed economy is an economic system in which both the state and private sector direct the economy, reflecting characteristics of both market economies and planned economies. Most mixed economies can be described as market economies with strong regulatory oversight, and many mixed economies feature a variety of government-run enterprises and governmental provision of public goods.;;;;;;;;;;;;;
the_dark_continent;The Dark Continent;;;;;;;;;;;;;
the_dark_continent_desc;A common name for Africa prior to its exploration, 'the Dark Continent' referred to the deep interior where few men had ever seen much less knew anything about. These deep jungles and desolate wastes were a no-man's-land, populated primarily by natives who had little contact with civilization. With the increase of exploration brought on by colonialism, suddenly the ability to colonize the areas previously denied to us has become possible.;;;;;;;;;;;;;
fight_the_power;Government Resistance;;;;;;;;;;;;;
fight_the_power_desc;There is rising dissension against the government, both among the people and within the military. We will have difficulty keeping order until this passes.;;;;;;;;;;;;;
national_confusion;National Confusion;;;;;;;;;;;;;
national_confusion_desc;There has been a great deal of change in our country. It will take some time to sort things out, before business as usual can resume.;;;;;;;;;;;;;
neutrality_modifier;Political Neutrality;;;;;;;;;;;;;
neutrality_modifier_desc;Our country deliberately takes no sides. We do not go to war, even against those the world universally reviles, and thus expect that no one shall go to war against us. This means we will likely never achieve recognition as a 'mover and shaker', but it also protects us. We shall not abandon our principles for the sake of power and influence.;;;;;;;;;;;;;
apache_raiders;Apache Raiders;;;;;;;;;;;;;
irish_potato_blight;Potato Blight;Le mildiou de la pomme de terre;Kartoffelfäule;;;;;;;;;;;
irish_potato_blight_desc;Famine spreads as crops lie, dead and rotting, in our fields.;La famine s'étend tandis que les cultures pourrissent dans nos champs.;Hunger breitet sich aus, weil die Ernte tot und verfaulend auf unseren Feldern liegt.;;;;;;;;;;;
irish_republicans;Irish Republicans;;;;;;;;;;;;;
irish_republicans_desc;Down with the monarchy! An Irish Free State is the only solution!;;;;;;;;;;;;;
irish_unionists;Irish Unionists;;;;;;;;;;;;;
irish_unionists_desc;Ireland is a part of the United Kingdom, now and forever more! We will not turn our back on the monarchy!;;;;;;;;;;;;;
power_vacuum;Power Vacuum;;;;;;;;;;;;;
power_vacuum_desc;The government is in a state of transition as it struggles to find its new leader… or fall in the process.;;;;;;;;;;;;;
chinese_substate;Qing Oppression;;;;;;;;;;;;;
chinese_substate_desc;The oppression by the Qing Emperor has left our nation in disarray.;;;;;;;;;;;;;
treaties_of_velasco;Treaties of Velasco;;;;;;;;;;;;;
treaties_of_velasco_desc;The treaties may be worth less than the paper they're printed on, but they supposedly offer us a guarantee of independence from Mexico. We shall see if they last.;;;;;;;;;;;;;
recent_crisis;Recent Crisis;;;;;;;;;;;;;
recent_crisis_desc;We have been the instigators in a recent crisis. Until memories fade, the world will likely tend to overlook any further demands we make for our territories.;;;;;;;;;;;;;
switched_production;Switched Production;;;;;;;;;;;;;
switched_production_desc;The province has just switched its major production, and locals are still acclimatizing to the change.;;;;;;;;;;;;;
new_production;New Plantation;;;;;;;;;;;;;
new_production_desc;A new plantation has been started in this province, moving production over to cash crops rather than than the traditional farming which has been done here by the natives.;;;;;;;;;;;;;
emergency_tax_measures1;Emergency Measures;;;;;;;;;;;;;
emergency_tax_measures1_desc;Our financial situation has forced us to adopt draconian, and very unpopular, tax measures.;;;;;;;;;;;;;
emergency_tax_measures2;Extreme Measures;;;;;;;;;;;;;
emergency_tax_measures2_desc;Our financial situation has forced us to adopt draconian, and very unpopular, tax measures.;;;;;;;;;;;;;
boxer_presence;Boxer Presence;;;;;;;;;;;;;
boxer_presence_desc;The Righteous Harmony Society is present in this province, disrupting regular trade as they act against foreign influence.;;;;;;;;;;;;;
boxer_agitation;Boxer Agitation;;;;;;;;;;;;;
boxer_agitation_desc;Our efforts to suppress the Boxers in this province has angered them, turning these nationalists against our government.;;;;;;;;;;;;;
international_pariah;International Pariah;Paria International;Internationales Ausgestossen;;;;;;;;;;;
international_pariah_desc;We are a pariah in the international community for our aggressive policies.;;;;;;;;;;;;;
great_war;Total War;Guerre Totale;Größer Krieg;;;;;;;;;;;
great_war_desc;We are in a state of total war with our enemies. We must rise up as one, or risk the destruction of our entire way of life.;;;;;;;;;;;;;
great_war2;The Demands of War;Les Demandes de la Guerre;Die Nachfragen des Krieges;;;;;;;;;;;
great_war2_desc;Massive shortages are causing our people's enthusiasm for war to dim.;;;;;;;;;;;;;
great_war3;Is It All For Nothing?;Est-il Tout Pour Rien?;Ist Alles Für Nichts?;;;;;;;;;;;
great_war3_desc;If we do not end the war soon, things will go very badly for us.;;;;;;;;;;;;;
gateway_to_harbor;Gateway to a New Land;;;;;;;;;;;;;
gateway_to_harbor_desc;Many immigrants from around the world will pass through our great harbor, and a great number of them will remain in the city.;;;;;;;;;;;;;
rebel_cell_discovered;Rebel Cell Discovered;;;;;;;;;;;;;
rebel_cell_discovered_desc;With one rebel cell uncovered, it's only a matter of time before we discover the rest and stamp them out!;;;;;;;;;;;;;
fukoku_kyohei;Fukoku Kyohei;;;;;;;;;;;;;
may_day;May Day;;;;;;;;;;;;;
may_day_desc;Our nation celebrates socialism. Let the greedy capitalists of the land shake in their boots!;;;;;;;;;;;;;
militant_trade_union;Militant Trade Union;;;;;;;;;;;;;
dissatisfied_workers;Dissatisfied Workers;;;;;;;;;;;;;
worker_revolt;Worker Revolt;;;;;;;;;;;;;
